step,eval_avg_return,alpha,epsilon,seed,algo,total_steps,random_steps,replay_capacity,batch_size,eval_freq,eval_episodes,target_entropy_ratio,min_alpha,max_alpha
0,-172.70917522903903,1.0,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
5000,-172.70917522903903,1.0,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
10000,-200.80891311542652,0.9997000694274902,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
15000,69.81807128576345,1.0,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
20000,-71.74912048765528,1.0,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
25000,-95.61911271571566,1.0,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
30000,-72.6484697478139,0.9371033310890198,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
35000,-149.2440267096721,0.775687038898468,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
40000,-215.73797003539107,0.5892900228500366,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
45000,-3.091694002262875,0.4566570818424225,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
50000,-12.980635733115594,0.38569721579551697,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
55000,-11.971721593266825,0.33451542258262634,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
60000,-20.173334137153006,0.3058888912200928,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
65000,-24.333089691178746,0.28572243452072144,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
70000,-17.534677236408868,0.2749876081943512,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
75000,96.8661822139777,0.2549045979976654,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
80000,10.609477453555165,0.2470054179430008,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
85000,216.76697954870352,0.25204944610595703,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
90000,224.16529093227533,0.25596892833709717,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
95000,176.09016318210726,0.2456481158733368,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
100000,75.92274210395192,0.23246432840824127,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
105000,186.22379096778604,0.2704063951969147,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
110000,196.4418436595072,0.2632686495780945,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
115000,198.33731699880641,0.2657177150249481,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
120000,225.13969895502532,0.26343369483947754,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
125000,244.10336766775362,0.2744317948818207,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
130000,193.0017206144301,0.29275399446487427,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
135000,239.91675270454735,0.2934376895427704,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
140000,243.64077066602036,0.3004733920097351,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
145000,161.32222956833442,0.30242934823036194,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
150000,241.71512510434303,0.3173386752605438,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
155000,230.58591391726927,0.297478586435318,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
160000,239.64262703553769,0.303761750459671,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
165000,222.6918315444364,0.3007303774356842,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
170000,203.33091123567243,0.3003785014152527,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
175000,230.37167095262558,0.30984753370285034,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
180000,229.5068342528988,0.2800736129283905,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
185000,227.39126499606513,0.295490562915802,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
190000,221.12586529700866,0.3159183859825134,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
195000,244.90692519974635,0.2955935299396515,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
200000,230.91893481652465,0.2970692217350006,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
205000,228.96803402566442,0.30334383249282837,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
210000,230.9819573700278,0.3010041415691376,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
215000,195.03902338540567,0.31296873092651367,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
220000,229.44252574049156,0.3115881085395813,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
225000,220.5013880807041,0.3129192292690277,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
230000,245.50409482185995,0.30975013971328735,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
235000,224.82750627207656,0.31557589769363403,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
240000,217.74565304947708,0.33950039744377136,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
245000,222.5809720157171,0.3176645040512085,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
250000,249.12942838602186,0.3297584652900696,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
255000,234.13473015362425,0.32810309529304504,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
260000,225.77754809810398,0.32224276661872864,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
265000,223.4556744360234,0.33265432715415955,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
270000,226.11771051677732,0.31905803084373474,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
275000,223.59875417828715,0.3157987892627716,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
280000,221.46994759148,0.32119786739349365,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
285000,226.53369774485154,0.3153704106807709,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
290000,223.015028464713,0.33388492465019226,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
295000,207.2179811925924,0.32878684997558594,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
300000,205.92635462754978,0.3329927623271942,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
305000,230.3710031985951,0.31675732135772705,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
310000,217.08261788772847,0.3205651044845581,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
315000,237.23096251639157,0.33106690645217896,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
320000,221.30092878334048,0.32728007435798645,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
325000,231.58456660260694,0.32793566584587097,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
330000,233.29683037266068,0.3089994490146637,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
335000,217.75429997265823,0.32251638174057007,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
340000,229.11936220095012,0.30599984526634216,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
345000,237.66228320448198,0.3199338912963867,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
350000,228.76859348674688,0.3235738277435303,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
355000,231.03592141981125,0.3197382986545563,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
360000,237.3810519555378,0.314628005027771,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
365000,210.90193826744425,0.29935792088508606,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
370000,232.72482811944914,0.31311604380607605,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
375000,244.23422335374048,0.32311633229255676,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
380000,221.80085817225873,0.32622355222702026,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
385000,239.55624985033097,0.32899218797683716,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
390000,235.61155833806782,0.3180389404296875,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
395000,236.82848048564924,0.3313157856464386,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
400000,238.73569602445932,0.32841062545776367,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
405000,249.6226271060823,0.32716524600982666,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
410000,248.78229511016622,0.3248644173145294,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
415000,234.91930020410177,0.314410001039505,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
420000,236.55302500117114,0.32039719820022583,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
425000,231.91441511027688,0.3168720602989197,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
430000,247.2393587062058,0.3141016960144043,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
435000,251.93390220598675,0.32304173707962036,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
440000,207.78995165881855,0.31079962849617004,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
445000,232.53757933655552,0.30539819598197937,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
450000,237.50287649479182,0.30257388949394226,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
455000,247.50195465023762,0.30316153168678284,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
460000,241.20769527617776,0.3105617165565491,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
465000,235.3945133233608,0.3117293417453766,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
470000,234.0299124952723,0.3024582266807556,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
475000,216.8015962518572,0.28896650671958923,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
480000,250.6021791782229,0.30469003319740295,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
485000,247.81547803272989,0.30905821919441223,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
490000,237.37768570742088,0.2952917218208313,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
495000,250.02456953209466,0.2808326184749603,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
500000,235.14653355331626,0.2950042486190796,,1,discrete-sac,500000,10000,1000000,256,5000,10,0.5,0.0001,1.0
